timestamp;pid;ppid;nome_processo;status;cpu_porcentagem;ram_porcentagem;total_threads;tempo_execucao;throughput_mbs;throughput_gbs
2025-11-10 19:32:44;780;12784;msedgewebview2.exe;running;0.0;0.049794735036682115;22;1762778050.0024676;0.0;0.0
2025-11-10 19:32:44;924;1316;svchost.exe;running;0.0;0.0008430854609385334;3;1762809327.2926686;0.0;0.0
2025-11-10 19:32:44;940;1316;svchost.exe;running;0.0;0.006270448115730342;6;1762809324.5760162;0.0;0.0
2025-11-10 19:33:16;0;0;System Idle Process;running;0.0;0.00010538568261731667;24;0.0;0.0;0.0
2025-11-10 19:33:16;4;0;System;running;0.0;0.003319649002445475;306;0.0;0.0;0.0
2025-11-10 19:33:16;140;4;;stopped;0.0;0.4401959962925317;0;1762777907.5327773;0.0;0.0
2025-11-10 19:33:16;184;4;Registry;running;0.0;0.10665031080872446;4;1762777907.5377195;0.0;0.0
2025-11-10 19:33:16;548;12476;Docker Desktop.exe;running;0.0;0.4331878483984801;40;1762811237.957982;0.0;0.0
2025-11-10 19:33:16;612;816;csrss.exe;running;0.0;0.006112369591804367;15;1762777914.6563156;0.0;0.0
2025-11-10 19:33:16;636;4;smss.exe;running;0.0;5.2692841308658335e-05;2;1762777909.4706242;0.0;0.0
2025-11-10 19:33:16;780;12784;msedgewebview2.exe;running;0.0;0.025134485304230025;22;1762778050.0024676;0.0;0.0
2025-11-10 19:33:16;924;1316;svchost.exe;running;0.0;0.006428526639656316;3;1762809327.2926686;0.0;0.0
2025-11-10 19:33:16;940;1316;svchost.exe;running;0.0;0.0031615704785194995;6;1762809324.5760162;0.0;0.0
2025-11-10 19:33:44;0;0;System Idle Process;running;199.1;0.00010538568261731667;24;0.0;0.0;0.0
2025-11-10 19:33:44;4;0;System;running;0.0;0.004953127083013883;306;0.0;0.0;0.0
2025-11-10 19:33:44;140;4;;stopped;0.0;0.4401959962925317;0;1762777907.5327773;0.0;0.0
2025-11-10 19:33:44;184;4;Registry;running;0.0;0.056908268613351;4;1762777907.5377195;0.0;0.0
2025-11-10 19:33:44;548;12476;Docker Desktop.exe;running;0.0;0.41369149711427655;40;1762811237.957982;0.0;0.0
2025-11-10 19:33:44;612;816;csrss.exe;running;0.0;0.008747011657237283;15;1762777914.6563156;0.0;0.0
2025-11-10 19:33:44;636;4;smss.exe;running;0.0;5.2692841308658335e-05;2;1762777909.4706242;0.0;0.0
2025-11-10 19:33:44;780;12784;msedgewebview2.exe;running;0.0;0.020023279697290165;22;1762778050.0024676;0.0;0.0
2025-11-10 19:33:44;924;1316;svchost.exe;running;0.0;0.006428526639656316;3;1762809327.2926686;0.0;0.0
2025-11-10 19:33:44;940;1316;svchost.exe;running;0.0;0.006270448115730342;6;1762809324.5760162;0.0;0.0
2025-11-10 19:34:12;0;0;System Idle Process;running;0.0;0.00010538568261731667;24;0.0;0.0;0.0
2025-11-10 19:34:12;4;0;System;running;0.0;0.003899270256840717;305;0.0;0.0;0.0
2025-11-10 19:34:12;140;4;;stopped;0.0;0.4401959962925317;0;1762777907.5327773;0.0;0.0
2025-11-10 19:34:12;184;4;Registry;running;0.0;0.03282764013529414;4;1762777907.5377195;0.0;0.0
2025-11-10 19:34:12;548;12476;Docker Desktop.exe;running;0.0;0.43898406094243253;40;1762811237.957982;0.0;0.0
2025-11-10 19:34:12;612;816;csrss.exe;running;0.0;0.014543224201189699;14;1762777914.6563156;0.0;0.0
2025-11-10 19:34:12;636;4;smss.exe;running;0.0;5.2692841308658335e-05;2;1762777909.4706242;0.0;0.0
2025-11-10 19:34:12;780;12784;msedgewebview2.exe;running;0.0;0.010327796896497031;22;1762778050.0024676;0.0;0.0
2025-11-10 19:34:12;924;1316;svchost.exe;running;0.0;0.006428526639656316;3;1762809327.2926686;0.0;0.0
2025-11-10 19:34:12;940;1316;svchost.exe;running;0.0;0.003530420367680108;6;1762809324.5760162;0.0;0.0
2025-11-10 19:34:36;0;0;System Idle Process;running;873.9;0.00010538568261731667;24;0.0;0.0;0.0
2025-11-10 19:34:36;4;0;System;running;0.0;0.003530420367680108;305;0.0;0.0;0.0
2025-11-10 19:34:36;140;4;;stopped;0.0;0.4401959962925317;0;1762777907.5327773;0.0;0.0
2025-11-10 19:34:36;184;4;Registry;running;0.0;0.022236379032253815;4;1762777907.5377195;0.0;0.0
2025-11-10 19:34:36;548;12476;Docker Desktop.exe;running;0.0;0.43065859201566453;40;1762811237.957982;0.0;0.0
2025-11-10 19:34:36;612;816;csrss.exe;running;0.0;0.014648609883807017;14;1762777914.6563156;0.0;0.0
2025-11-10 19:34:36;636;4;smss.exe;running;0.0;5.2692841308658335e-05;2;1762777909.4706242;0.0;0.0
2025-11-10 19:34:36;780;12784;msedgewebview2.exe;running;0.0;0.008272776085459357;22;1762778050.0024676;0.0;0.0
